SPort, DPort, SPkts, DPkts, SBytes, DBytes, Protocol, SYN, ACK, FIN, PSH, RST, URG, SYN+ACK, Duration, IsAlive, Service, UniqueDests, UniqueSrcs, UniqueDestSocks, UniqueSrcSocks,target
57352,53,2,0,192,0,17,0,0,0,0,0,0,0,1.493844509,1,0,6,1,1,7,1
53,57352,2,0,302,0,17,0,0,0,0,0,0,0,1.358405828,1,0,1,6,5,1,1
53,38395,2,0,204,0,17,0,0,0,0,0,0,0,1.357927084,1,0,1,6,6,1,1
53,34074,2,0,510,0,17,0,0,0,0,0,0,0,1.355181456,1,0,1,6,7,1,1
37483,443,9,0,2530,0,17,0,0,0,0,0,0,0,1.352519989,1,0,7,1,1,1,1
56149,443,8,0,2444,0,17,0,0,0,0,0,0,0,1.352055311,1,0,8,1,1,1,1
39063,443,12,0,2651,0,17,0,0,0,0,0,0,0,1.35063529,1,0,9,1,1,1,1
52768,443,9,0,1288,0,6,1,8,0,4,0,0,9,1.350414038,1,0,9,1,1,2,1
52772,443,11,0,1406,0,6,1,10,1,4,0,0,11,1.350185633,1,0,9,1,1,3,1
48648,443,10,0,1342,0,6,1,9,0,4,0,0,10,1.349988699,1,0,9,1,1,2,1
53440,443,6,0,925,0,6,1,5,0,2,0,0,6,1.349795818,1,0,9,1,1,2,1
443,56149,16,0,7170,0,17,0,0,0,0,0,0,0,1.349526644,1,0,1,7,1,1,1
53452,443,7,0,979,0,6,1,6,0,2,0,0,7,1.344296455,1,0,9,1,1,3,1
443,48648,9,0,5842,0,6,1,9,0,4,0,0,9,1.257724047,1,0,1,8,1,1,1
443,39063,22,0,24297,0,17,0,0,0,0,0,0,0,1.256789446,1,0,1,8,2,1,1
443,37483,12,0,7923,0,17,0,0,0,0,0,0,0,1.255642891,1,0,1,9,1,1,1
443,52772,10,0,5977,0,6,1,10,1,2,0,0,10,1.254974604,1,0,1,9,2,1,1
443,52768,8,0,5857,0,6,1,8,0,2,0,0,8,1.253680944,1,0,1,9,3,1,1
443,53452,6,0,5433,0,6,1,6,0,3,0,0,6,1.250203133,1,0,1,9,2,1,1
443,53440,5,0,5379,0,6,1,5,0,2,0,0,5,1.24956584,1,0,1,9,3,1,1
60921,53,1,0,73,0,17,0,0,0,0,0,0,0,1.051453114,1,0,9,1,1,8,1
53,60921,1,0,124,0,17,0,0,0,0,0,0,0,1.011867523,1,0,1,9,8,1,1
36958,80,4,0,655,0,6,1,3,0,1,0,0,4,0.998912334,1,0,9,1,1,4,1
52459,53,1,0,73,0,17,0,0,0,0,0,0,0,0.984649181,1,0,9,1,1,9,1
80,36958,3,0,876,0,6,1,3,0,1,0,0,3,0.933747053,1,0,1,9,4,1,1
